indice_tiempo,reservas_internacionales_dolares,pasivos_monetarios,pasivos_monetarios_letras_pesos,pasivos_monetarios_letras_dolares,letras_liquidez_saldo_pesos,posicion_neta_pases,otros_depositos_gobierno,redescuentos_adelantos_iliquidez,tipo_cambio_valuacion,pos_neta_det_des_pases_pasivos,pos_neta_det_des_pases_activos
2007-10-01,42723.41935483871,96248.7741935484,55836.22084167838,0.24286952602048031,,2241.1935483870966,1461.741935483871,3325.3548387096776,3.160883870967742,2622.4193548387098,381.2258064516129
2007-11-01,43792.3,97893.33333333333,53952.8548029657,0.24085723037482323,,1589.0333333333333,3039.8333333333335,3289.9,3.135169999999999,2270.3,681.2666666666667
2007-12-01,45710.79387096774,104913.0,51079.6016103751,0.24122467265679481,,2239.9032258064517,3232.1935483870966,3256.3870967741937,3.140706451612902,2491.6129032258063,251.70967741935485
2008-01-01,46910.032258064515,106424.19354838709,50622.916676839275,0.0078004760617753,,7261.935483870968,5580.129032258064,3222.967741935484,3.1440516129032265,7323.677419354839,61.74193548387097
2008-02-01,48407.379310344826,104160.55172413793,52872.93522469422,0.0,,10413.827586206897,4865.241379310345,3199.6206896551726,3.158,10423.724137931034,9.89655172413793
2008-03-01,50039.096774193546,107596.06451612903,55079.66519096696,0.0,,8348.451612903225,5242.806451612903,3166.935483870968,3.154683870967742,8348.516129032258,0.06451612903225806
2008-04-01,50329.86666666667,108637.86666666667,55082.687678346854,0.0,,7718.766666666666,5612.7,3123.0,3.1665266666666674,7718.766666666666,0.0
2008-05-01,49448.83870967742,109230.7741935484,53046.27083327117,0.0,,6158.032258064516,5565.645161290323,3095.1290322580644,3.1518322580645166,6272.774193548387,114.74193548387096
2008-06-01,47918.333333333336,110496.9,49945.52606796143,0.0,,4665.7,7669.8,2982.766666666667,3.0444033333333334,4681.566666666667,15.866666666666667
2008-07-01,47600.41935483871,111143.96774193548,47985.21486679328,0.0,,9639.645161290322,5718.225806451613,2937.064516129032,3.0221967741935494,9709.90322580645,70.25806451612904
2008-08-01,47300.3870967742,112481.87096774194,48143.125672077746,0.0,,10964.90322580645,3920.3548387096776,2766.3225806451615,3.0335032258064523,11121.774193548386,156.8709677419355
2008-09-01,47072.23333333333,113445.00333333334,48687.73148918582,0.0,,10951.008,2724.8333333333335,2712.8333333333335,3.0831066666666667,11064.1,113.09200000000001
2008-10-01,46608.1935483871,115319.29032258065,47547.30967577311,0.0,,8852.460967741934,892.1290322580645,2659.1612903225805,3.234809677419356,8946.322580645161,93.86161290322579
2008-11-01,45663.53333333333,116585.66666666667,44292.3772908816,0.0,,9053.033333333333,457.56666666666666,2612.4333333333334,3.3320033333333337,9085.566666666668,32.53333333333333
2008-12-01,46198.3870967742,123660.2258064516,39363.59802764066,0.0,,7885.451612903225,1118.0645161290322,2571.2258064516127,3.4254,10187.290322580646,2301.8387096774195
2009-01-01,46789.354838709674,124069.7741935484,38117.87223284185,0.0,,13174.322580645161,1463.4193548387098,2548.0,3.4631967741935474,15795.064516129032,2620.7419354838707
2009-02-01,47058.03571428572,122633.5,38445.222948119954,0.0,,14442.92857142857,1754.357142857143,2238.0,3.511103571428572,15995.07142857143,1552.142857142857
2009-03-01,46933.45161290323,122584.0,35520.7856003212,0.0,,15908.645161290322,3133.1612903225805,2112.032258064516,3.653232258064518,16476.354838709678,567.7096774193549
2009-04-01,46268.23333333333,123569.43333333333,34786.600227014285,0.0,,15048.426000000001,2438.4666666666667,2060.3,3.6920333333333324,15177.723999999998,129.298
2009-05-01,46556.25806451613,126271.35483870968,35153.00842422626,0.0,,16224.935483870968,5357.774193548387,1998.483870967742,3.7267225806451605,16262.09677419355,37.16129032258065
2009-06-01,46385.13333333333,129179.06666666667,33823.66202453147,0.0,,14847.333333333334,7789.6,1896.4333333333334,3.7685866666666654,14886.333333333334,39.0
2009-07-01,45992.16129032258,133425.7741935484,33109.50132307795,0.0,,11798.483870967742,9241.387096774193,1799.9032258064517,3.8089161290322577,11834.774193548386,36.29032258064516
2009-08-01,44850.82394901522,135215.70967741936,34925.57160619284,0.0,,12519.645161290322,1791.8387096774193,1629.6451612903227,3.8391000000000015,12804.709677419354,285.06451612903226
2009-09-01,45192.77823067278,137159.33333333334,38605.100614848925,0.0,,10341.766666666666,1141.2666666666667,1510.4,3.8427899999999995,10876.933333333332,535.1666666666666
2009-10-01,45733.032258064515,136401.1935483871,40923.591148692336,0.0,,10566.290322580646,835.258064516129,1364.6451612903227,3.826716129032259,10964.032258064517,397.741935483871
2009-11-01,46803.833333333336,137754.96666666667,44113.12577285458,0.0,,9703.133333333333,2228.766666666667,1253.2666666666667,3.8112633333333332,10095.933333333332,392.8
2009-12-01,47716.67961659057,147898.16129032258,44593.11436457144,0.0,,6924.774193548387,6300.419354838709,1131.967741935484,3.806154838709677,6959.096774193548,34.32258064516129
2010-01-01,48116.401037670745,151321.90322580645,43571.422962358345,0.0,,11430.225806451614,1573.5806451612902,1120.483870967742,3.8045612903225803,11459.90322580645,29.677419354838708
2010-02-01,47958.67857142857,147234.2857142857,43395.320321653024,0.0,,17024.071428571428,1059.3214285714287,1109.892857142857,3.8520892857142863,17024.10714285714,0.03571428571428571
2010-03-01,47681.903225806454,148374.93548387097,45806.01813925313,0.0,,13535.09677419355,25706.0,1101.6774193548388,3.8625096774193546,13535.09677419355,0.0
2010-04-01,47551.833333333336,161572.26666666666,48156.51192415745,0.0,,14766.266666666666,12543.066666666668,1092.7,3.8754466666666683,14766.266666666666,0.0
2010-05-01,48470.68021779901,168093.16129032258,50317.321253986614,0.0,,16088.387096774193,12128.709677419354,1085.8709677419354,3.9014741935483874,16088.387096774193,0.0
2010-06-01,49228.98772521095,169720.56666666668,53197.321423906535,0.0,,15801.866666666667,12389.666666666666,1205.7333333333333,3.9261800000000004,15801.866666666667,0.0
2010-07-01,50448.48701695172,175542.06451612903,56108.63544702558,0.0,,15021.032258064517,9752.129032258064,1363.5806451612902,3.934977419354838,15021.032258064517,0.0
2010-08-01,50209.65263363547,173296.25806451612,61231.373402645535,0.0,,13266.548387096775,10870.90322580645,1291.483870967742,3.9373129032258056,13266.548387096775,0.0
2010-09-01,50920.09287513706,175625.43333333332,66234.5568872893,0.0,,13087.0,7517.3,1276.2666666666667,3.9510466666666675,13087.0,0.0
2010-10-01,51606.910269150125,184462.93548387097,69126.60772547919,0.0,,12220.322580645161,5724.322580645161,1266.4516129032259,3.956864516129032,12223.483870967742,3.161290322580645
2010-11-01,52236.08619729621,188804.3,69704.55381110332,0.0,,12406.6,9750.2,1257.0333333333333,3.9678566666666666,12406.6,0.0
2010-12-01,52132.307526504104,196780.0,70713.20486930356,0.0,,9304.935483870968,6871.1612903225805,1273.774193548387,3.9772516129032263,9304.935483870968,0.0
2011-01-01,52364.92451427913,203172.64516129033,72842.91191350386,0.0,,11743.967741935483,28465.967741935485,1302.774193548387,3.981435483870967,11743.967741935483,0.0
2011-02-01,52427.03571428572,202416.7142857143,76410.24476546688,0.0,,11162.535714285714,39198.03571428572,1328.3214285714287,4.022307142857143,11162.535714285714,0.0
2011-03-01,52287.096774193546,201115.5806451613,79331.60938513002,0.0,,13010.709677419354,36426.709677419356,1341.2903225806451,4.036535483870968,13010.709677419354,0.0
2011-04-01,51637.3,203890.53333333333,82774.59081566757,0.0,,13460.466666666667,35300.53333333333,1421.6666666666667,4.066126666666666,13460.466666666667,0.0
2011-05-01,51986.8064516129,209007.83870967742,84040.45629191959,0.0,,13549.129032258064,33323.709677419356,1601.4516129032259,4.0838580645161295,13549.129032258064,0.0
2011-06-01,52094.3,211636.2,86178.1498016424,0.0,,10118.8,33165.433333333334,1806.6666666666667,4.095523333333333,10118.8,0.0
2011-07-01,51852.1935483871,220328.4193548387,85445.6269482888,0.0,,6675.387096774193,28734.58064516129,1465.4193548387098,4.1276806451612895,6717.4838709677415,42.12903225806452
2011-08-01,50387.77419354839,225314.35483870967,80266.15855035992,0.0,,12029.483870967742,16456.548387096773,889.6129032258065,4.168558064516129,12029.483870967742,0.0
2011-09-01,49421.0,224272.8,77896.2896704168,0.0,,10155.466666666667,15540.4,1187.4333333333334,4.205006666666666,10155.466666666667,0.0
2011-10-01,48038.06451612903,224788.0,75595.54194684415,0.0,,9587.290322580646,13652.41935483871,1515.1612903225807,4.220954838709677,9593.741935483871,6.451612903225806
2011-11-01,46464.73333333333,223129.4,70114.71493548903,0.0,,9913.966666666667,11482.133333333333,1767.7666666666667,4.25991,9913.966666666667,0.0
2011-12-01,45982.51612903226,236049.1258064516,65208.899248590824,0.0,,12334.838709677419,7986.258064516129,1983.6451612903227,4.28786129032258,12334.838709677419,0.0
2012-01-01,46557.290322580644,249274.83870967742,69348.65127765333,0.0,,15992.032258064517,2059.2903225806454,2125.6774193548385,4.319719354838709,15992.032258064517,0.0
2012-02-01,46811.206896551725,236910.3103448276,74690.73567755136,0.0,,26172.241379310344,1394.2413793103449,2299.551724137931,4.347506896551724,26172.241379310344,0.0
2012-03-01,47168.25806451613,247736.51612903227,76798.58551357199,0.0,,20884.290322580644,1910.774193548387,2371.2903225806454,4.3557225806451605,20884.290322580644,0.0
2012-04-01,47462.333333333336,251340.3,77749.60279810196,0.0,,23565.6,3509.0666666666666,2461.0666666666666,4.396693333333333,23565.6,0.0
2012-05-01,47435.77419354839,253442.51612903227,80550.81025573434,0.0,,28391.935483870966,9682.193548387097,2780.3225806451615,4.44907741935484,28391.935483870966,0.0
2012-06-01,46603.63333333333,261544.36666666667,81983.14701860423,0.0,,19766.9,7990.6,3016.5333333333333,4.4969666666666654,19766.9,0.0
2012-07-01,46647.1935483871,277584.0,81588.05518941865,0.0,,18976.935483870966,14812.516129032258,3187.5806451612902,4.551841935483872,18976.935483870966,0.0
2012-08-01,45256.63636363636,286894.8181818182,82592.63698208795,0.0,,18015.909090909092,14355.954545454546,3241.8636363636365,4.609827272727273,18015.909090909092,0.0
2012-09-01,45228.03333333333,292106.5333333333,84295.38091760407,0.0,,16505.166666666668,11957.433333333332,3322.8,4.669746666666667,16505.166666666668,0.0
2012-10-01,45062.22727272727,298922.3181818182,84165.41889802355,0.0,,16999.772727272728,8881.454545454546,3419.909090909091,4.729850000000001,16999.772727272728,0.0
2012-11-01,45314.9,308914.1,82708.47027319742,0.0,,17984.95,13283.4,3525.45,4.797389999999999,17984.95,0.0
2012-12-01,44134.0,331591.0,80377.45178471318,0.0,,16923.25806451613,9213.258064516129,3594.1290322580644,4.880780645161291,16923.25806451613,0.0
2013-01-01,42953.93548387097,339512.87096774194,83261.19696779041,0.0,,21350.451612903227,6027.096774193548,3724.483870967742,4.947641935483871,21350.451612903227,0.0
